=========================Vanilla++ Admin Tools Session Logs=========================
Logs Started: 2021-11-25_10-1-4
====================================================================================
10:1:4 | [PermissionManager] Perm (DeleteObjectAtCrosshair) has been registered!
10:1:4 | [PermissionManager] Perm (Chat:GotoPlayer) has been registered!
10:1:4 | [PermissionManager] Perm (Chat:UnbanPlayer) has been registered!
10:1:4 | [PermissionManager] Perm (Chat:TeleportToTown) has been registered!
10:1:4 | [PermissionManager] Perm (Chat:TeleportToPoint) has been registered!
10:1:4 | [PermissionManager] Perm (Chat:GiveAmmo) has been registered!
10:1:4 | [PermissionManager] Perm (Chat:SpawnInventory) has been registered!
10:1:4 | [PermissionManager] Perm (Chat:SpawnOnGround) has been registered!
10:1:4 | [PermissionManager] Perm (Chat:SpawnInHands) has been registered!
10:1:4 | [PermissionManager] Perm (Chat:SpawnCar) has been registered!
10:1:4 | [PermissionManager] Perm (Chat:refuelCar) has been registered!
10:1:4 | [WeatherManager] Loading Json File $profile:VPPAdminTools/ConfigurablePlugins/WeatherManager/WeatherSettingsPresets.json
10:1:4 | [PermissionManager] Adding Super Admin (76561197987495141)
10:1:4 | [PermissionManager] Adding Super Admin (76561198240053012)
10:1:4 | [PermissionManager] Loaded UserGroups.json
10:1:4 | [TimeManager] Loading Json File $profile:VPPAdminTools/ConfigurablePlugins/TimeManager/TimeSettingsPresets.json
10:1:4 | Building Sets Loaded: 0
12:31:58 | Player "sR_Sayouri" (steamId=76561198804910463) connected to server!
12:44:50 | Player "sR_Sayouri" (steamId=76561198804910463) disconnected from server.
12:44:51 | Player "sR_Sayouri" (steamId=76561198804910463) disconnected from server.
13:17:20 | Player "Viper Vic" (steamId=76561198240053012) connected to server!
13:17:44 | Player "Viper Vic" (steamId=76561198240053012) connected to server!
13:18:0 | Player "jackthedog" (steamId=76561198990502947) connected to server!
13:18:53 | Player "jackthedog" (steamId=76561198990502947) connected to server!
13:19:12 | "Viper Vic": (steamid=76561198240053012) teleported to (pos=3706.77,0,5997.36)
13:20:2 | Player "jackthedog" (steamId=76561198990502947) disconnected from server.
13:20:3 | Player "jackthedog" (steamId=76561198990502947) disconnected from server.
13:21:6 | "Viper Vic" (steamid=76561198240053012) Spawned Item: (AssaultBag_Black)
13:21:33 | "Viper Vic" (steamid=76561198240053012) deleted object "AssaultBag_Black" (pos=<3682.797852, 402.811432, 5982.954102>)
13:25:7 | "Viper Vic" (steamid=76561198240053012) Spawned Item: (TacticalGloves_Black)
13:25:17 | "Viper Vic" (steamid=76561198240053012) toggled godmode
13:25:22 | "Viper Vic" (steamid=76561198240053012) Spawned Item: (TacticalGloves_Black)
13:25:23 | "Viper Vic" (steamid=76561198240053012) Spawned Item: (TacticalGloves_Black)
13:25:50 | "Viper Vic" (steamid=76561198240053012) Spawned Item: (M65Jacket_Black)
13:27:36 | "Viper Vic" (steamid=76561198240053012) Spawned Item: (MilitaryBelt)
13:27:54 | "Viper Vic" (steamid=76561198240053012) toggled godmode
13:27:55 | "Viper Vic" (steamid=76561198240053012) toggled godmode
13:28:16 | "Viper Vic" (steamid=76561198240053012) Spawned Item: (PlateCarrierHolster)
13:28:24 | "Viper Vic" (steamid=76561198240053012) toggled godmode
13:28:26 | "Viper Vic" (steamid=76561198240053012) toggled godmode
13:28:42 | "Viper Vic" (steamid=76561198240053012) Spawned Item: (Canteen)
13:28:43 | "Viper Vic" (steamid=76561198240053012) Spawned Item: (Canteen)
13:28:43 | "Viper Vic" (steamid=76561198240053012) Spawned Item: (Canteen)
13:29:35 | "Viper Vic" (steamid=76561198240053012) Spawned Item: (BakedBeansCan_Opened)
13:29:36 | "Viper Vic" (steamid=76561198240053012) Spawned Item: (BakedBeansCan_Opened)
13:30:43 | "Viper Vic" (steamid=76561198240053012) Spawned Item: (Mag_Deagle_9rnd)
13:30:44 | "Viper Vic" (steamid=76561198240053012) Spawned Item: (Mag_Deagle_9rnd)
13:30:46 | "Viper Vic" (steamid=76561198240053012) Spawned Item: (Deagle_Gold)
13:31:21 | "Viper Vic" (steamid=76561198240053012) Spawned Item: (PistolSuppressor)
13:31:22 | "Viper Vic" (steamid=76561198240053012) Spawned Item: (PistolSuppressor)
13:31:22 | "Viper Vic" (steamid=76561198240053012) Spawned Item: (PistolSuppressor)
13:31:22 | "Viper Vic" (steamid=76561198240053012) Spawned Item: (PistolSuppressor)
13:31:49 | "Viper Vic" (steamid=76561198240053012) toggled godmode
13:31:51 | "Viper Vic" (steamid=76561198240053012) toggled godmode
13:32:9 | "Viper Vic" (steamid=76561198240053012) Spawned Item: (PistolOptic)
13:32:18 | "Viper Vic" (steamid=76561198240053012) Spawned Item: (Battery9V)
13:32:18 | "Viper Vic" (steamid=76561198240053012) Spawned Item: (Battery9V)
13:32:18 | "Viper Vic" (steamid=76561198240053012) Spawned Item: (Battery9V)
13:32:18 | "Viper Vic" (steamid=76561198240053012) Spawned Item: (Battery9V)
13:34:55 | "Viper Vic" (steamid=76561198240053012) Spawned Item: (FirefightersPants_Black)
13:35:1 | "Viper Vic" (steamid=76561198240053012) Spawned Item: (BDUPants)
13:38:11 | "Viper Vic" (steamid=76561198240053012) Spawned Item: (Mich2001Helmet)
13:38:31 | "Viper Vic" (steamid=76561198240053012) toggled godmode
13:38:33 | "Viper Vic" (steamid=76561198240053012) toggled godmode
13:38:44 | "Viper Vic" (steamid=76561198240053012) Spawned Item: (NVGoggles)
13:38:59 | "Viper Vic" (steamid=76561198240053012) Spawned Item: (NVGoggles)
13:40:5 | "Viper Vic" (steamid=76561198240053012) deleted object "FirefightersHelmet_Yellow" (pos=<3683.114990, 402.790436, 5983.623535>)
13:40:7 | "Viper Vic" (steamid=76561198240053012) deleted object "FirefightersPants_Black" (pos=<3683.114990, 402.693787, 5983.623535>)
13:40:9 | "Viper Vic" (steamid=76561198240053012) deleted object "Jeans_Black" (pos=<3683.114990, 402.693787, 5983.623535>)
13:40:14 | "Viper Vic" (steamid=76561198240053012) deleted object "WoolCoat_Red" (pos=<3682.920898, 402.693787, 5982.865234>)
13:42:22 | Player "Viper Vic" (steamId=76561198240053012) disconnected from server.
13:43:19 | Player "Viper Vic" (steamId=76561198240053012) connected to server!
13:43:40 | Player "Viper Vic" (steamId=76561198240053012) connected to server!
13:43:55 | "Viper Vic" (steamid=76561198240053012) toggled godmode
13:45:44 | "Viper Vic" (steamid=76561198240053012) Spawned Item: (AliceBag_Black)
13:47:50 | "Viper Vic" (steamid=76561198240053012) Spawned Item: (BloodTestKit)
13:48:41 | Player "Jkradar" (steamId=76561198015543936) connected to server!
13:48:58 | Player "Jkradar" (steamId=76561198015543936) connected to server!
13:49:41 | "Viper Vic" (steamid=76561198240053012) Spawned Item: (HuntingKnife)
13:49:53 | "Viper Vic" (steamid=76561198240053012) Spawned Item: (NylonKnifeSheath)
13:49:59 | "Viper Vic" (steamid=76561198240053012) Spawned Item: (CombatKnife)
13:55:25 | "Viper Vic" (steamid=76561198240053012) gave godmode to (steamid=76561198015543936)
13:59:32 | Player "Jkradar" (steamId=76561198015543936) disconnected from server.
13:59:33 | Player "Jkradar" (steamId=76561198015543936) disconnected from server.
13:59:45 | Player "Viper Vic" (steamId=76561198240053012) disconnected from server.
13:59:47 | Player "Viper Vic" (steamId=76561198240053012) disconnected from server.
