=========================Vanilla++ Admin Tools Session Logs=========================
Logs Started: 2021-11-25_14-4-33
====================================================================================
14:4:33 | [PermissionManager] Perm (DeleteObjectAtCrosshair) has been registered!
14:4:33 | [PermissionManager] Perm (MenuWebHooks:Edit) has been registered!
14:4:33 | [PermissionManager] Perm (MenuWebHooks:Delete) has been registered!
14:4:33 | [PermissionManager] Perm (MenuTeleportManager) has been registered!
14:4:33 | [PermissionManager] Perm (TeleportManager:ViewPlayerPositions) has been registered!
14:4:33 | [PermissionManager] Perm (TeleportManager:TPPlayers) has been registered!
14:4:33 | [PermissionManager] Perm (TeleportManager:TPSelf) has been registered!
14:4:33 | [PermissionManager] Perm (TeleportManager:DeletePreset) has been registered!
14:4:33 | [PermissionManager] Perm (TeleportManager:AddNewPreset) has been registered!
14:4:33 | [PermissionManager] Perm (TeleportManager:EditPreset) has been registered!
14:4:33 | [PermissionManager] Perm (EspToolsMenu) has been registered!
14:4:33 | [PermissionManager] Perm (EspToolsMenu:DeleteObjects) has been registered!
14:4:33 | [PermissionManager] Perm (EspToolsMenu:PlayerESP) has been registered!
14:4:33 | [PermissionManager] Perm (EspToolsMenu:RestPasscodeFence) has been registered!
14:4:33 | [PermissionManager] Perm (EspToolsMenu:RetriveCodeFromObj) has been registered!
14:4:33 | [PermissionManager] Perm (EspToolsMenu:PlayerMeshEsp) has been registered!
14:4:33 | [PermissionManager] Perm (MenuXMLEditor) has been registered!
14:4:33 | [PermissionManager] Perm (MenuCommandsConsole) has been registered!
14:4:33 | [BansManager]:: Load(): Loading ban list Json File $profile:VPPAdminTools/BanList.json
14:4:33 | Building Sets Loaded: 0
14:4:33 | [PermissionManager] Perm (Chat:StripPlayer) has been registered!
14:4:33 | [PermissionManager] Perm (Chat:KillPlayer) has been registered!
14:4:33 | [PermissionManager] Perm (Chat:HealPlayer) has been registered!
14:4:33 | [PermissionManager] Perm (Chat:BringPlayer) has been registered!
14:4:33 | [PermissionManager] Perm (Chat:ReturnPlayer) has been registered!
14:4:33 | [PermissionManager] Perm (Chat:GotoPlayer) has been registered!
14:4:33 | [PermissionManager] Perm (Chat:UnbanPlayer) has been registered!
14:4:33 | [PermissionManager] Perm (Chat:TeleportToTown) has been registered!
14:4:33 | [PermissionManager] Perm (Chat:TeleportToPoint) has been registered!
14:4:33 | [PermissionManager] Perm (Chat:GiveAmmo) has been registered!
14:4:33 | [PermissionManager] Perm (Chat:SpawnInventory) has been registered!
14:4:33 | [PermissionManager] Perm (Chat:SpawnOnGround) has been registered!
14:4:33 | [PermissionManager] Perm (Chat:SpawnInHands) has been registered!
14:4:33 | [PermissionManager] Perm (Chat:SpawnCar) has been registered!
14:4:33 | [PermissionManager] Perm (Chat:refuelCar) has been registered!
14:4:33 | [WeatherManager] Loading Json File $profile:VPPAdminTools/ConfigurablePlugins/WeatherManager/WeatherSettingsPresets.json
14:4:33 | [TimeManager] Loading Json File $profile:VPPAdminTools/ConfigurablePlugins/TimeManager/TimeSettingsPresets.json
14:4:33 | [PermissionManager] Adding Super Admin (76561197987495141)
14:4:33 | [PermissionManager] Adding Super Admin (76561198240053012)
14:4:33 | [PermissionManager] Loaded UserGroups.json
14:5:10 | Player "Viper Vic" (steamId=76561198240053012) connected to server!
14:5:34 | Player "Viper Vic" (steamId=76561198240053012) connected to server!
14:5:54 | Player "Jkradar" (steamId=76561198015543936) connected to server!
14:6:14 | Player "Jkradar" (steamId=76561198015543936) connected to server!
14:6:59 | "Viper Vic" (steamid=76561198240053012) toggled godmode
14:7:5 | "Viper Vic" (steamid=76561198240053012) gave godmode to (steamid=76561198015543936)
14:7:46 | "Viper Vic" (steamid=76561198240053012) healed player (steamid=76561198015543936)
14:8:45 | Player "Jkradar" (steamId=76561198015543936) disconnected from server.
14:12:1 | Player "Jkradar" (steamId=76561198015543936) connected to server!
14:12:21 | Player "Jkradar" (steamId=76561198015543936) connected to server!
14:14:10 | "Viper Vic" (steamid=76561198240053012) gave godmode to (steamid=76561198015543936)
14:18:58 | "Viper Vic" (steamid=76561198240053012) Spawned Item: (BakedBeansCan_Opened)
14:19:0 | "Viper Vic" (steamid=76561198240053012) Spawned Item: (BakedBeansCan_Opened)
14:19:0 | "Viper Vic" (steamid=76561198240053012) Spawned Item: (BakedBeansCan_Opened)
14:19:1 | "Viper Vic" (steamid=76561198240053012) Spawned Item: (BakedBeansCan_Opened)
14:19:26 | "Viper Vic" (steamid=76561198240053012) Spawned Item: (Canteen)
14:20:7 | "Viper Vic" (steamid=76561198240053012) Spawned Item: (IodineTincture)
14:20:8 | "Viper Vic" (steamid=76561198240053012) Spawned Item: (IodineTincture)
14:20:15 | "Viper Vic" (steamid=76561198240053012) Spawned Item: (BandageDressing)
14:20:15 | "Viper Vic" (steamid=76561198240053012) Spawned Item: (BandageDressing)
14:20:15 | "Viper Vic" (steamid=76561198240053012) Spawned Item: (BandageDressing)
14:20:58 | "Viper Vic": (steamid=76561198240053012) teleported to (pos=4554.83,0,8215.89)
14:26:18 | "Viper Vic" (steamid=76561198240053012) Spawned Item: (WeaponCleaningKit)
14:26:19 | "Viper Vic" (steamid=76561198240053012) Spawned Item: (WeaponCleaningKit)
14:36:44 | "Viper Vic" (steamid=76561198240053012) Spawned Item: (WeaponCleaningKit)
14:41:2 | "Viper Vic": (steamid=76561198240053012) teleported to (pos=4593.62,0,9591.58)
14:41:56 | "Viper Vic" (steamid=76561198240053012) gave godmode to (steamid=76561198015543936)
14:42:6 | "Viper Vic" (steamid=76561198240053012) gave godmode to (steamid=76561198015543936)
14:42:18 | "Viper Vic" (steamid=76561198240053012) toggled godmode
14:42:19 | "Viper Vic" (steamid=76561198240053012) toggled godmode
14:45:16 | Player "Jkradar" (steamId=76561198015543936) disconnected from server.
14:45:17 | Player "Jkradar" (steamId=76561198015543936) disconnected from server.
14:45:20 | [WeatherManager] Send Data Count is 0
14:47:0 | Player "Viper Vic" (steamId=76561198240053012) disconnected from server.
14:47:4 | Player "Viper Vic" (steamId=76561198240053012) disconnected from server.
14:50:45 | Player "Faro" (steamId=76561198026357800) connected to server!
14:51:43 | Player "Faro" (steamId=76561198026357800) connected to server!
15:45:20 | Player "Faro" (steamId=76561198026357800) disconnected from server.
15:45:22 | Player "Faro" (steamId=76561198026357800) disconnected from server.
17:31:21 | Player "AutumnsFury" (steamId=76561198045624393) connected to server!
17:31:38 | Player "AutumnsFury" (steamId=76561198045624393) connected to server!
17:33:5 | Player "AutumnsFury" (steamId=76561198045624393) disconnected from server.
17:34:24 | Player "AutumnsFury" (steamId=76561198045624393) connected to server!
17:50:20 | Player "BrutalBrewer" (steamId=76561198045512864) connected to server!
17:50:34 | Player "BrutalBrewer" (steamId=76561198045512864) connected to server!
17:53:43 | Player "Jkradar" (steamId=76561198015543936) connected to server!
17:53:58 | Player "Jkradar" (steamId=76561198015543936) connected to server!
17:56:2 | Player "Jkradar" (steamId=76561198015543936) disconnected from server.
17:56:3 | Player "Jkradar" (steamId=76561198015543936) disconnected from server.
18:0:20 | Player "AutumnsFury" (steamId=76561198045624393) disconnected from server.
18:4:39 | Player "BrutalBrewer" (steamId=76561198045512864) disconnected from server.
